timestamp,model,mode,bars,pop,generations,w_rules,w_mlp,seed,out_midi,best_fitness,exit_code
2025-11-10T20:39:33,mlp_hard_3N.pkl,minor,8,60,90,0.600,0.400,42,out\mlp_hard_3N__minor_8bars__pop60_gen90__wr0p6_wm0p4.mid,0.921600,0
2025-11-10T20:45:28,mlp_hard_3N.pkl,minor,8,60,90,0.400,0.600,42,out\mlp_hard_3N__minor_8bars__pop60_gen90__wr0p4_wm0p6.mid,0.944400,0
2025-11-10T20:51:16,mlp_hard_3N.pkl,minor,8,60,90,0.200,0.800,42,out\mlp_hard_3N__minor_8bars__pop60_gen90__wr0p2_wm0p8.mid,0.971900,0
2025-11-10T20:57:03,mlp_hard_3N.pkl,minor,8,60,90,0.000,1.000,42,out\mlp_hard_3N__minor_8bars__pop60_gen90__wr0p0_wm1p0.mid,1.000000,0
2025-11-10T21:02:39,mlp_hard_3N.pkl,minor,16,100,150,1.000,0.000,42,out\mlp_hard_3N__minor_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.855500,0
2025-11-10T21:28:23,mlp_hard_3N.pkl,minor,16,100,150,0.800,0.200,42,out\mlp_hard_3N__minor_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.880800,0
2025-11-10T21:49:47,mlp_hard_3N.pkl,minor,16,100,150,0.600,0.400,42,out\mlp_hard_3N__minor_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.910800,0
2025-11-10T22:06:44,mlp_hard_3N.pkl,minor,16,100,150,0.400,0.600,42,out\mlp_hard_3N__minor_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.938600,0
2025-11-10T22:23:36,mlp_hard_3N.pkl,minor,16,100,150,0.200,0.800,42,out\mlp_hard_3N__minor_16bars__pop100_gen150__wr0p2_wm0p8.mid,0.968800,0
2025-11-10T22:43:41,mlp_hard_3N.pkl,minor,16,100,150,0.000,1.000,42,out\mlp_hard_3N__minor_16bars__pop100_gen150__wr0p0_wm1p0.mid,1.000000,0
2025-11-10T23:06:15,mlp_hard_3N.pkl,major,8,60,90,1.000,0.000,42,out\mlp_hard_3N__major_8bars__pop60_gen90__wr1p0_wm0p0.mid,0.874600,0
